x,y,det_0,det_1,det_2,det_3,det_4,det_5,RD_1_4,RD_2_5,RD_0_3
-50.0,-50.0,1e-05,2.5e-06,7.5e-06,1.5e-05,2.25e-05,1.75e-05,-1.599999999872,-0.799999999936,-0.39999999996799995
-50.0,-47.9592,5e-06,2e-05,0.0,5e-05,4.25e-05,1.75e-05,-0.7199999999769601,-1.9999999997714284,-1.6363636363041323
-50.0,-45.9184,7.5e-06,2.5e-06,2.5e-06,7.5e-06,3e-05,2.5e-06,-1.69230769220355,0.0,0.0
-50.0,-43.8776,1.25e-05,1.25e-05,1.25e-05,3.5e-05,2.75e-05,1.75e-05,-0.7499999999625,-0.333333333311111,-0.9473684210127423
-50.0,-41.8367,7.5e-06,0.0,0.0,4.25e-05,3.25e-05,1.5e-05,-1.9999999998769231,-1.9999999997333333,-1.399999999944
-50.0,-39.7959,1.5e-05,0.0,0.0,2.25e-05,5e-05,1.25e-05,-1.99999999992,-1.99999999968,-0.3999999999786667
-50.0,-37.7551,2.5e-06,5e-06,7.5e-06,2e-05,4e-05,4e-05,-1.5555555554864198,-1.3684210525739613,-1.555555555417284
-50.0,-35.7143,1e-05,0.0,1e-05,2.75e-05,6.25e-05,1.75e-05,-1.999999999936,-0.5454545454148759,-0.9333333332835554
-50.0,-33.6735,7.5e-06,7.5e-06,7.5e-06,3.25e-05,5e-05,1.25e-05,-1.4782608695137998,-0.49999999995,-1.2499999999375
-50.0,-31.6327,7.5e-06,5e-06,5e-06,3e-05,6e-05,2.25e-05,-1.692307692255621,-1.2727272726347107,-1.199999999936
-50.0,-29.5918,7.5e-06,1e-05,2.5e-06,4.5e-05,5.5e-05,5e-06,-1.3846153845727809,-0.6666666664888888,-1.4285714285170068
-50.0,-27.551,7.5e-06,1.75e-05,0.0,3.5e-05,6.25e-05,1e-05,-1.1249999999718752,-1.9999999996,-1.2941176469979239
-50.0,-25.5102,1e-05,2.5e-06,2.5e-06,4.25e-05,5.5e-05,1.25e-05,-1.8260869564582232,-1.3333333331555555,-1.2380952380480728
-50.0,-23.4694,1.5e-05,1.25e-05,1.75e-05,7.5e-05,3.25e-05,1.25e-05,-0.8888888888493827,0.333333333311111,-1.3333333333037036
-50.0,-21.4286,1.5e-05,7.5e-06,1e-05,6.25e-05,4.5e-05,0.0,-1.4285714285170068,1.9999999996,-1.2258064515812697
