x,y,roiCounts,normalizedCounts,flux,normalizedFlux,nPrimary
-50.0,-50.0,546,0.00546,902,0.00902,600000
-50.0,-47.9592,599,0.0059900000000000005,932,0.00932,600000
-50.0,-45.9184,488,0.00488,793,0.00793,600000
-50.0,-43.8776,519,0.00519,877,0.00877,600000
-50.0,-41.8367,545,0.00545,861,0.00861,600000
-50.0,-39.7959,507,0.00507,826,0.00826,600000
-50.0,-37.7551,484,0.00484,828,0.00828,600000
-50.0,-35.7143,567,0.0056700000000000006,878,0.00878,600000
-50.0,-33.6735,546,0.00546,895,0.00895,600000
-50.0,-31.6327,577,0.00577,856,0.00856,600000
-50.0,-29.5918,538,0.00538,869,0.00869,600000
-50.0,-27.551,648,0.00648,957,0.00957,600000
-50.0,-25.5102,577,0.00577,876,0.00876,600000
-50.0,-23.4694,503,0.00503,889,0.00889,600000
-50.0,-21.4286,477,0.00477,850,0.0085,600000
-50.0,-19.3878,510,0.0051,860,0.0086,600000
-50.0,-17.3469,500,0.005,830,0.0083,600000
-50.0,-15.3061,513,0.00513,885,0.00885,600000
-50.0,-13.2653,530,0.0053,889,0.00889,600000
-50.0,-11.2245,651,0.00651,924,0.00924,600000
-50.0,-9.18367,548,0.0054800000000000005,883,0.00883,600000
-50.0,-7.14286,561,0.00561,927,0.00927,600000
-50.0,-5.10204,565,0.00565,896,0.00896,600000
-50.0,-3.06122,602,0.00602,857,0.00857,600000
-50.0,-1.02041,502,0.00502,900,0.009,600000
-50.0,1.02041,595,0.00595,929,0.00929,600000
-50.0,3.06122,551,0.00551,903,0.00903,600000
-50.0,5.10204,507,0.00507,816,0.00816,600000
-50.0,7.14286,585,0.005849999999999999,896,0.00896,600000
-50.0,9.18367,557,0.00557,826,0.00826,600000
-50.0,11.2245,491,0.00491,819,0.00819,600000
-50.0,13.2653,499,0.0049900000000000005,887,0.00887,600000
-50.0,15.3061,552,0.005520000000000001,899,0.00899,600000
-50.0,17.3469,510,0.0051,857,0.00857,600000
-50.0,19.3878,465,0.00465,831,0.00831,600000
-50.0,21.4286,461,0.00461,854,0.00854,600000
-50.0,23.4694,582,0.00582,854,0.008539999999999999,600000
-50.0,25.5102,567,0.0056700000000000006,845,0.00845,600000
-50.0,27.551,503,0.00503,822,0.00822,600000
-50.0,29.5918,546,0.00546,885,0.00885,600000
-50.0,31.6327,537,0.00537,853,0.00853,600000
-50.0,33.6735,592,0.00592,892,0.008919999999999999,600000
-50.0,35.7143,476,0.00476,857,0.00857,600000
-50.0,37.7551,540,0.0054,890,0.0089,600000
-50.0,39.7959,553,0.00553,871,0.00871,600000
-50.0,41.8367,466,0.00466,842,0.00842,600000
-50.0,43.8776,488,0.00488,829,0.00829,600000
-50.0,45.9184,539,0.00539,863,0.00863,600000
-50.0,47.9592,553,0.00553,881,0.00881,600000
-50.0,50.0,638,0.00638,875,0.008749999999999999,600000
-47.9592,-50.0,577,0.00577,912,0.00912,600000
-47.9592,-47.9592,559,0.00559,940,0.0094,600000
-47.9592,-45.9184,591,0.0059099999999999995,922,0.009219999999999999,600000
-47.9592,-43.8776,569,0.00569,935,0.00935,600000
-47.9592,-41.8367,553,0.00553,871,0.008709999999999999,600000
-47.9592,-39.7959,532,0.00532,913,0.00913,600000
