x,y,detectorID,nPrimary,roiCounts,normalizedCounts,flux,normalizedFlux
-50.0,-50.0,0,100000,95,0.00095,141,0.00141
-50.0,-50.0,1,100000,88,0.00088,143,0.00143
-50.0,-50.0,2,100000,115,0.00115,171,0.00171
-50.0,-50.0,3,100000,91,0.00091,167,0.00167
-50.0,-50.0,4,100000,71,0.00071,135,0.00135
-50.0,-50.0,5,100000,86,0.00086,145,0.00145
-50.0,-47.9592,0,100000,103,0.00103,182,0.00182
-50.0,-47.9592,1,100000,101,0.00101,151,0.00151
-50.0,-47.9592,2,100000,102,0.00102,158,0.00158
-50.0,-47.9592,3,100000,92,0.00092,142,0.00142
-50.0,-47.9592,4,100000,83,0.00083,146,0.00146
-50.0,-47.9592,5,100000,118,0.00118,153,0.00153
-50.0,-45.9184,0,100000,87,0.00087,141,0.00141
-50.0,-45.9184,1,100000,81,0.00081,128,0.00128
-50.0,-45.9184,2,100000,58,0.00058,129,0.00129
-50.0,-45.9184,3,100000,61,0.00061,125,0.00125
-50.0,-45.9184,4,100000,100,0.001,135,0.00135
-50.0,-45.9184,5,100000,101,0.00101,135,0.00135
-50.0,-43.8776,0,100000,75,0.00075,128,0.00128
-50.0,-43.8776,1,100000,86,0.00086,140,0.0014
-50.0,-43.8776,2,100000,85,0.00085,143,0.00143
-50.0,-43.8776,3,100000,97,0.00097,151,0.00151
-50.0,-43.8776,4,100000,91,0.00091,149,0.00149
-50.0,-43.8776,5,100000,85,0.00085,166,0.00166
-50.0,-41.8367,0,100000,93,0.00093,145,0.00145
-50.0,-41.8367,1,100000,73,0.00073,146,0.00146
-50.0,-41.8367,2,100000,76,0.00076,137,0.00137
-50.0,-41.8367,3,100000,96,0.00096,148,0.00148
-50.0,-41.8367,4,100000,88,0.00088,143,0.00143
-50.0,-41.8367,5,100000,119,0.00119,142,0.00142
-50.0,-39.7959,0,100000,85,0.00085,132,0.00132
-50.0,-39.7959,1,100000,95,0.00095,150,0.0015
-50.0,-39.7959,2,100000,77,0.00077,132,0.00132
-50.0,-39.7959,3,100000,70,0.0007,127,0.00127
-50.0,-39.7959,4,100000,81,0.00081,134,0.00134
-50.0,-39.7959,5,100000,99,0.00099,151,0.00151
-50.0,-37.7551,0,100000,67,0.00067,121,0.00121
-50.0,-37.7551,1,100000,78,0.00078,139,0.00139
-50.0,-37.7551,2,100000,81,0.00081,133,0.00133
-50.0,-37.7551,3,100000,99,0.00099,147,0.00147
-50.0,-37.7551,4,100000,89,0.00089,149,0.00149
-50.0,-37.7551,5,100000,70,0.0007,139,0.00139
-50.0,-35.7143,0,100000,66,0.00066,139,0.00139
-50.0,-35.7143,1,100000,88,0.00088,140,0.0014
-50.0,-35.7143,2,100000,116,0.00116,180,0.0018
-50.0,-35.7143,3,100000,101,0.00101,133,0.00133
-50.0,-35.7143,4,100000,109,0.00109,130,0.0013
-50.0,-35.7143,5,100000,87,0.00087,156,0.00156
-50.0,-33.6735,0,100000,74,0.00074,141,0.00141
-50.0,-33.6735,1,100000,101,0.00101,162,0.00162
-50.0,-33.6735,2,100000,84,0.00084,152,0.00152
-50.0,-33.6735,3,100000,80,0.0008,132,0.00132
-50.0,-33.6735,4,100000,89,0.00089,139,0.00139
-50.0,-33.6735,5,100000,118,0.00118,169,0.00169
-50.0,-31.6327,0,100000,78,0.00078,141,0.00141
-50.0,-31.6327,1,100000,96,0.00096,145,0.00145
