x,y,detectorID,nPrimary,roiCounts,normalizedCounts,flux,normalizedFlux
5.10204,1.02041,0,100000,98,0.00098,164,0.00164
5.10204,1.02041,1,100000,106,0.00106,152,0.00152
5.10204,1.02041,2,100000,108,0.00108,163,0.00163
5.10204,1.02041,3,100000,82,0.00082,160,0.0016
5.10204,1.02041,4,100000,101,0.00101,149,0.00149
5.10204,1.02041,5,100000,97,0.00097,158,0.00158
5.10204,3.06122,0,100000,87,0.00087,161,0.00161
5.10204,3.06122,1,100000,80,0.0008,136,0.00136
5.10204,3.06122,2,100000,80,0.0008,155,0.00155
5.10204,3.06122,3,100000,89,0.00089,154,0.00154
5.10204,3.06122,4,100000,80,0.0008,154,0.00154
5.10204,3.06122,5,100000,128,0.00128,158,0.00158
5.10204,5.10204,0,100000,88,0.00088,134,0.00134
5.10204,5.10204,1,100000,66,0.00066,126,0.00126
5.10204,5.10204,2,100000,68,0.00068,129,0.00129
5.10204,5.10204,3,100000,77,0.00077,137,0.00137
5.10204,5.10204,4,100000,77,0.00077,126,0.00126
5.10204,5.10204,5,100000,58,0.00058,130,0.0013
5.10204,7.14286,0,100000,111,0.00111,155,0.00155
5.10204,7.14286,1,100000,95,0.00095,147,0.00147
5.10204,7.14286,2,100000,77,0.00077,150,0.0015
5.10204,7.14286,3,100000,83,0.00083,124,0.00124
5.10204,7.14286,4,100000,91,0.00091,153,0.00153
5.10204,7.14286,5,100000,114,0.00114,157,0.00157
5.10204,9.18367,0,100000,89,0.00089,144,0.00144
5.10204,9.18367,1,100000,82,0.00082,146,0.00146
5.10204,9.18367,2,100000,58,0.00058,136,0.00136
5.10204,9.18367,3,100000,73,0.00073,130,0.0013
5.10204,9.18367,4,100000,83,0.00083,147,0.00147
5.10204,9.18367,5,100000,109,0.00109,155,0.00155
5.10204,11.2245,0,100000,78,0.00078,135,0.00135
5.10204,11.2245,1,100000,81,0.00081,144,0.00144
5.10204,11.2245,2,100000,77,0.00077,125,0.00125
5.10204,11.2245,3,100000,84,0.00084,138,0.00138
5.10204,11.2245,4,100000,100,0.001,150,0.0015
5.10204,11.2245,5,100000,99,0.00099,128,0.00128
5.10204,13.2653,0,100000,71,0.00071,129,0.00129
5.10204,13.2653,1,100000,115,0.00115,143,0.00143
5.10204,13.2653,2,100000,123,0.00123,178,0.00178
5.10204,13.2653,3,100000,91,0.00091,142,0.00142
5.10204,13.2653,4,100000,92,0.00092,141,0.00141
5.10204,13.2653,5,100000,93,0.00093,166,0.00166
5.10204,15.3061,0,100000,55,0.00055,130,0.0013
5.10204,15.3061,1,100000,105,0.00105,154,0.00154
5.10204,15.3061,2,100000,78,0.00078,132,0.00132
5.10204,15.3061,3,100000,85,0.00085,146,0.00146
5.10204,15.3061,4,100000,106,0.00106,141,0.00141
5.10204,15.3061,5,100000,126,0.00126,174,0.00174
5.10204,17.3469,0,100000,86,0.00086,142,0.00142
5.10204,17.3469,1,100000,88,0.00088,150,0.0015
5.10204,17.3469,2,100000,93,0.00093,139,0.00139
5.10204,17.3469,3,100000,77,0.00077,125,0.00125
5.10204,17.3469,4,100000,123,0.00123,165,0.00165
5.10204,17.3469,5,100000,91,0.00091,147,0.00147
5.10204,19.3878,0,100000,96,0.00096,152,0.00152
5.10204,19.3878,1,100000,109,0.00109,146,0.00146
5.10204,19.3878,2,100000,81,0.00081,144,0.00144
5.10204,19.3878,3,100000,82,0.00082,128,0.00128
5.10204,19.3878,4,100000,87,0.00087,148,0.00148
5.10204,19.3878,5,100000,123,0.00123,159,0.00159
