x,y,detectorID,nPrimary,roiCounts,normalizedCounts
-35.7143,41.8367,0,400000,3,7.5e-06
-35.7143,41.8367,1,400000,5,1.25e-05
-35.7143,41.8367,2,400000,28,7e-05
-35.7143,41.8367,3,400000,16,4e-05
-35.7143,41.8367,4,400000,0,0
-35.7143,41.8367,5,400000,5,1.25e-05
-35.7143,43.8776,0,400000,3,7.5e-06
-35.7143,43.8776,1,400000,5,1.25e-05
-35.7143,43.8776,2,400000,28,7e-05
-35.7143,43.8776,3,400000,24,6e-05
-35.7143,43.8776,4,400000,4,1e-05
-35.7143,43.8776,5,400000,1,2.5e-06
-35.7143,45.9184,0,400000,3,7.5e-06
-35.7143,45.9184,1,400000,4,1e-05
-35.7143,45.9184,2,400000,13,3.25e-05
-35.7143,45.9184,3,400000,16,4e-05
-35.7143,45.9184,4,400000,3,7.5e-06
-35.7143,45.9184,5,400000,4,1e-05
-35.7143,47.9592,0,400000,4,1e-05
-35.7143,47.9592,1,400000,6,1.5e-05
-35.7143,47.9592,2,400000,24,6e-05
-35.7143,47.9592,3,400000,6,1.5e-05
-35.7143,47.9592,4,400000,4,1e-05
-35.7143,47.9592,5,400000,2,5e-06
-35.7143,50,0,400000,3,7.5e-06
-35.7143,50,1,400000,12,3e-05
-35.7143,50,2,400000,22,5.5e-05
-35.7143,50,3,400000,17,4.25e-05
-35.7143,50,4,400000,3,7.5e-06
-35.7143,50,5,400000,2,5e-06
-33.6735,-50,0,400000,0,0
-33.6735,-50,1,400000,1,2.5e-06
-33.6735,-50,2,400000,3,7.5e-06
-33.6735,-50,3,400000,7,1.75e-05
-33.6735,-50,4,400000,14,3.5e-05
-33.6735,-50,5,400000,20,5e-05
-33.6735,-47.9592,0,400000,4,1e-05
-33.6735,-47.9592,1,400000,0,0
-33.6735,-47.9592,2,400000,4,1e-05
-33.6735,-47.9592,3,400000,14,3.5e-05
-33.6735,-47.9592,4,400000,13,3.25e-05
-33.6735,-47.9592,5,400000,16,4e-05
-33.6735,-45.9184,0,400000,6,1.5e-05
-33.6735,-45.9184,1,400000,4,1e-05
-33.6735,-45.9184,2,400000,7,1.75e-05
-33.6735,-45.9184,3,400000,17,4.25e-05
-33.6735,-45.9184,4,400000,14,3.5e-05
-33.6735,-45.9184,5,400000,10,2.5e-05
-33.6735,-43.8776,0,400000,5,1.25e-05
-33.6735,-43.8776,1,400000,5,1.25e-05
