x,y,nPrimary,roiCounts,normalizedCounts,flux,normalizedFlux
-25,-24.6,400000,44851,0.112128,152057,0.380142
-25,-24.4,400000,44943,0.112357,152440,0.3811
-25,-24.2,400000,44561,0.111403,151841,0.379603
-25,-24,400000,45097,0.112742,152846,0.382115
-25,-23.8,400000,44726,0.111815,151929,0.379823
-25,-23.6,400000,44660,0.11165,152029,0.380072
-25,-23.4,400000,44837,0.112092,152100,0.38025
-25,-23.2,400000,44496,0.11124,151630,0.379075
-25,-23,400000,44900,0.11225,151895,0.379738
-25,-22.8,400000,44511,0.111278,152191,0.380478
-25,-22.6,400000,44413,0.111033,151812,0.37953
-25,-22.4,400000,44568,0.11142,152310,0.380775
-25,-22.2,400000,44739,0.111848,152008,0.38002
-25,-22,400000,45113,0.112782,152208,0.38052
-25,-21.8,400000,44855,0.112138,152636,0.38159
-25,-21.6,400000,45195,0.112988,152473,0.381182
-25,-21.4,400000,45245,0.113113,152361,0.380902
-25,-21.2,400000,44972,0.11243,152149,0.380373
-25,-21,400000,45164,0.11291,152391,0.380978
-25,-20.8,400000,44916,0.11229,152835,0.382088
-25,-20.6,400000,44746,0.111865,152070,0.380175
-25,-20.4,400000,44501,0.111253,151667,0.379167
-25,-20.2,400000,44793,0.111982,152593,0.381483
-25,-20,400000,45066,0.112665,151929,0.379823
-25,-19.8,400000,45065,0.112662,152207,0.380518
-25,-19.6,400000,44746,0.111865,152740,0.38185
-25,-19.4,400000,45202,0.113005,152785,0.381962
-25,-19.2,400000,45149,0.112873,151997,0.379993
-25,-19,400000,44902,0.112255,152014,0.380035
-25,-18.8,400000,44909,0.112272,152060,0.38015
-25,-18.6,400000,44699,0.111747,151873,0.379682
-25,-18.4,400000,44783,0.111958,151331,0.378327
-25,-18.2,400000,44211,0.110528,151604,0.37901
-25,-18,400000,44635,0.111588,151553,0.378883
-25,-17.8,400000,44836,0.11209,151894,0.379735
-25,-17.6,400000,44706,0.111765,151822,0.379555
-25,-17.4,400000,44706,0.111765,152216,0.38054
-25,-17.2,400000,45337,0.113342,151892,0.37973
-25,-17,400000,44626,0.111565,152073,0.380182
-25,-16.8,400000,44954,0.112385,152377,0.380943
-25,-16.6,400000,44531,0.111327,151820,0.37955
-25,-16.4,400000,44536,0.11134,152537,0.381342
-25,-16.2,400000,45764,0.11441,152317,0.380792
-25,-16,400000,44839,0.112098,151997,0.379993
-25,-15.8,400000,44841,0.112102,152215,0.380537
-25,-15.6,400000,44446,0.111115,151291,0.378227
-25,-15.4,400000,44949,0.112373,152160,0.3804
-25,-15.2,400000,44650,0.111625,151598,0.378995
-25,-15,400000,45059,0.112647,152655,0.381638
-25,-14.8,400000,45046,0.112615,152744,0.38186
-25,-14.6,400000,45110,0.112775,152083,0.380207
-25,-14.4,400000,44707,0.111768,152110,0.380275
-25,-14.2,400000,44851,0.112128,152279,0.380698
-25,-14,400000,44783,0.111958,152314,0.380785
-25,-13.8,400000,44627,0.111568,152576,0.38144
-25,-13.6,400000,44558,0.111395,151325,0.378312
-25,-13.4,400000,44900,0.11225,152315,0.380788
-25,-13.2,400000,44735,0.111838,152702,0.381755
-25,-13,400000,44871,0.112177,152232,0.38058
-25,-12.8,400000,44923,0.112308,151811,0.379528
-25,-12.6,400000,44282,0.110705,151751,0.379377
-25,-12.4,400000,45155,0.112888,152265,0.380663
-25,-12.2,400000,44601,0.111503,152475,0.381188
-25,-12,400000,44836,0.11209,151558,0.378895
-25,-11.8,400000,44668,0.11167,152119,0.380298
-25,-11.6,400000,44993,0.112482,152260,0.38065
-25,-11.4,400000,44259,0.110647,152277,0.380692
-25,-11.2,400000,44258,0.110645,151670,0.379175
-25,-11,400000,44688,0.11172,151821,0.379553
-25,-10.8,400000,44675,0.111687,151987,0.379968
-25,-10.6,400000,44563,0.111408,151852,0.37963
-25,-10.4,400000,44735,0.111838,152246,0.380615
-25,-10.2,400000,44752,0.11188,151862,0.379655
-25,-10,400000,44833,0.112083,152193,0.380483
-25,-9.8,400000,45457,0.113642,153065,0.382663
-25,-9.6,400000,45189,0.112973,152091,0.380227
-25,-9.4,400000,44627,0.111568,152742,0.381855
-25,-9.2,400000,44783,0.111958,152343,0.380858
-25,-9,400000,44232,0.11058,152233,0.380582
-25,-8.8,400000,44511,0.111278,152117,0.380292
-25,-8.6,400000,44697,0.111742,151773,0.379433
-25,-8.4,400000,44965,0.112412,152310,0.380775
-25,-8.2,400000,44494,0.111235,152111,0.380277
-25,-8,400000,45019,0.112547,152013,0.380032
-25,-7.8,400000,44764,0.11191,152354,0.380885
-25,-7.6,400000,44886,0.112215,152444,0.38111
-25,-7.4,400000,44858,0.112145,152538,0.381345
-25,-7.2,400000,44293,0.110732,152092,0.38023
-25,-7,400000,45052,0.11263,152232,0.38058
-25,-6.8,400000,45258,0.113145,152458,0.381145
-25,-6.6,400000,44640,0.1116,152429,0.381072
-25,-6.4,400000,44665,0.111662,152043,0.380107
-25,-6.2,400000,45138,0.112845,152929,0.382323
-25,-6,400000,44382,0.110955,151707,0.379267
-25,-5.8,400000,45375,0.113437,151961,0.379902
-25,-5.6,400000,44293,0.110732,152376,0.38094
-25,-5.4,400000,45342,0.113355,152440,0.3811
-25,-5.2,400000,44600,0.1115,152341,0.380852
-25,-5,400000,44955,0.112388,152476,0.38119
-25,-4.8,400000,44859,0.112147,152211,0.380528
-25,-4.6,400000,44672,0.11168,152187,0.380468
-25,-4.4,400000,44478,0.111195,151350,0.378375
-25,-4.2,400000,44951,0.112378,152453,0.381132
-25,-4,400000,44781,0.111952,152033,0.380082
-25,-3.8,400000,44518,0.111295,151703,0.379258
-25,-3.6,400000,45218,0.113045,152416,0.38104
-25,-3.4,400000,45129,0.112823,152160,0.3804
-25,-3.2,400000,44691,0.111727,152479,0.381198
-25,-3,400000,45107,0.112768,151539,0.378848
-25,-2.8,400000,45464,0.11366,152515,0.381288
-25,-2.6,400000,45500,0.11375,152230,0.380575
-25,-2.4,400000,44892,0.11223,151961,0.379902
-25,-2.2,400000,44557,0.111393,152160,0.3804
-25,-2,400000,45018,0.112545,151865,0.379663
-25,-1.8,400000,44850,0.112125,152414,0.381035
-25,-1.6,400000,44298,0.110745,151904,0.37976
-25,-1.4,400000,45229,0.113073,152288,0.38072
-25,-1.2,400000,44674,0.111685,151529,0.378823
-25,-1,400000,44679,0.111698,152319,0.380798
-25,-0.8,400000,44556,0.11139,152184,0.38046
-25,-0.6,400000,44782,0.111955,152323,0.380808
-25,-0.4,400000,44529,0.111323,152391,0.380978
-25,-0.2,400000,45238,0.113095,152638,0.381595
-25,0,400000,45165,0.112912,152223,0.380557
-25,0.2,400000,44997,0.112492,151984,0.37996
-25,0.4,400000,44634,0.111585,151839,0.379597
-25,0.6,400000,44537,0.111342,152038,0.380095
-25,0.8,400000,45189,0.112973,152338,0.380845
-25,1,400000,45173,0.112933,152264,0.38066
-25,1.2,400000,45252,0.11313,152574,0.381435
-25,1.4,400000,44814,0.112035,152487,0.381217
-25,1.6,400000,44374,0.110935,151882,0.379705
-25,1.8,400000,44853,0.112132,152004,0.38001
-25,2,400000,45186,0.112965,151913,0.379783
-25,2.2,400000,44942,0.112355,152664,0.38166
-25,2.4,400000,44987,0.112467,152264,0.38066
-25,2.6,400000,44933,0.112333,152079,0.380198
-25,2.8,400000,45050,0.112625,152376,0.38094
-25,3,400000,45249,0.113123,152674,0.381685
-25,3.2,400000,44833,0.112083,151816,0.37954
-25,3.4,400000,44296,0.11074,152189,0.380472
-25,3.6,400000,45112,0.11278,151897,0.379742
-25,3.8,400000,44970,0.112425,152319,0.380798
-25,4,400000,44773,0.111933,152601,0.381503
-25,4.2,400000,44299,0.110747,151900,0.37975
-25,4.4,400000,44476,0.11119,151705,0.379263
-25,4.6,400000,44843,0.112107,152400,0.381
-25,4.8,400000,45307,0.113267,151949,0.379873
-25,5,400000,45414,0.113535,152219,0.380547
-25,5.2,400000,44831,0.112077,152136,0.38034
-25,5.4,400000,44939,0.112348,152299,0.380748
-25,5.6,400000,44835,0.112088,152495,0.381238
-25,5.8,400000,45034,0.112585,152231,0.380578
-25,6,400000,44935,0.112338,152383,0.380958
-25,6.2,400000,44829,0.112073,151628,0.37907
-25,6.4,400000,45407,0.113517,152119,0.380298
-25,6.6,400000,44959,0.112397,152017,0.380043
-25,6.8,400000,45029,0.112573,152199,0.380497
-25,7,400000,44875,0.112187,151656,0.37914
-25,7.2,400000,44839,0.112098,151619,0.379047
-25,7.4,400000,44564,0.11141,151851,0.379628
-25,7.6,400000,44866,0.112165,152326,0.380815
-25,7.8,400000,45359,0.113397,152272,0.38068
-25,8,400000,44596,0.11149,151722,0.379305
-25,8.2,400000,44777,0.111943,151608,0.37902
-25,8.4,400000,44911,0.112278,152212,0.38053
-25,8.6,400000,45049,0.112623,152401,0.381003
-25,8.8,400000,45179,0.112948,152019,0.380047
-25,9,400000,45112,0.11278,152811,0.382028
-25,9.2,400000,45070,0.112675,151940,0.37985
-25,9.4,400000,45091,0.112727,152460,0.38115
-25,9.6,400000,45205,0.113013,152200,0.3805
-25,9.8,400000,44542,0.111355,152076,0.38019
-25,10,400000,44620,0.11155,152826,0.382065
-25,10.2,400000,44668,0.11167,152170,0.380425
-25,10.4,400000,44865,0.112162,152141,0.380352
-25,10.6,400000,44688,0.11172,152001,0.380003
-25,10.8,400000,45382,0.113455,152351,0.380877
-25,11,400000,44747,0.111867,151562,0.378905
-25,11.2,400000,45386,0.113465,152140,0.38035
-25,11.4,400000,44521,0.111302,151493,0.378733
-25,11.6,400000,45029,0.112573,152280,0.3807
-25,11.8,400000,44908,0.11227,151784,0.37946
-25,12,400000,44672,0.11168,152737,0.381842
