x,y,roiCounts,normalizedCounts,flux,normalizedFlux,roiCounts_rel_diff_to_center,roiCounts_rel_diff_to_mean,normalizedFlux_rel_diff_to_center,normalizedFlux_rel_diff_to_mean
-50.0,-50.0,194,0.00194,441,0.00441,0.35664335664335667,0.1145274633354935,0.11928934010152283,0.034815802787103875
-50.0,-47.9592,155,0.0015500000000000002,401,0.00401,0.08391608391608392,-0.10952702671648715,0.01776649746192887,-0.05904504100310967
-50.0,-45.9184,193,0.00193,381,0.00381,0.34965034965034963,0.10878247641108374,-0.032994923857867994,-0.10597546289821634
-50.0,-43.8776,165,0.00165,421,0.00421,0.15384615384615385,-0.05207715747238954,0.06852791878172595,-0.012114619108002798
-50.0,-41.8367,145,0.00145,407,0.00407,0.013986013986013986,-0.16697689596058476,0.032994923857867994,-0.04496591443457761
-50.0,-39.7959,193,0.0019299999999999999,475,0.00475,0.34965034965034963,0.10878247641108374,0.20558375634517767,0.11459752000878536
-50.0,-37.7551,135,0.00135,402,0.00402,-0.055944055944055944,-0.22442676520468235,0.020304568527918836,-0.05669851990835423
-50.0,-35.7143,169,0.00169,429,0.00429,0.18181818181818182,-0.029097209774750502,0.0888324873096448,0.006657549650039954
-50.0,-33.6735,172,0.00172,412,0.00412,0.20279720279720279,-0.011862249001521222,0.04568527918781738,-0.03323330896080079
-50.0,-31.6327,219,0.00219,435,0.00435,0.5314685314685315,0.25815213644573753,0.10406091370558371,0.020736676218571812
-50.0,-29.5918,183,0.00183,413,0.00413,0.27972027972027974,0.05133260716698614,0.048223350253807126,-0.030886787866045547
-50.0,-27.551,141,0.00141,406,0.00406,-0.013986013986013986,-0.1899568436582238,0.030456852791878253,-0.047312435529332855
-50.0,-25.5102,133,0.00133,397,0.00397,-0.06993006993006994,-0.23591673905350188,0.007614213197969453,-0.06843112538213104
-50.0,-23.4694,183,0.00183,436,0.00436,0.27972027972027974,0.05133260716698614,0.10659898477157366,0.02308319731332726
-50.0,-21.4286,175,0.00175,429,0.00429,0.22377622377622378,0.005372711771708059,0.0888324873096448,0.006657549650039954
-50.0,-19.3878,150,0.0015,400,0.004,0.04895104895104895,-0.13825196133853596,0.015228426395939127,-0.061391562097864914
-50.0,-17.3469,122,0.00122,391,0.00391,-0.14685314685314685,-0.29911159522200925,-0.007614213197969453,-0.0825102519506629
-50.0,-15.3061,169,0.00169,407,0.00407,0.18181818181818182,-0.029097209774750502,0.032994923857867994,-0.04496591443457761
-50.0,-13.2653,139,0.00139,440,0.0044,-0.027972027972027972,-0.20144681750704332,0.11675126903553308,0.03246928169234863
-50.0,-11.2245,153,0.0015300000000000001,405,0.00405,0.06993006993006994,-0.12101700056530666,0.027918781725888287,-0.0496589566240883
-50.0,-9.18367,197,0.00197,417,0.00417,0.3776223776223776,0.1317624241087228,0.05837563451776654,-0.021500703487024174
-50.0,-7.14286,175,0.00175,423,0.00423,0.22377622377622378,0.005372711771708059,0.07360406091370567,-0.00742157691849211
-50.0,-5.10204,200,0.002,416,0.00416,0.3986013986013986,0.14899738488195208,0.055837563451776574,-0.023847224581779618
-50.0,-3.06122,149,0.00149,372,0.00372,0.04195804195804196,-0.1439969482629457,-0.055837563451776574,-0.12709415275101435
-50.0,-1.02041,171,0.00171,390,0.0039,0.1958041958041958,-0.017607235925930984,-0.010152284263959418,-0.08485677304541836
-50.0,1.02041,177,0.00177,447,0.00447,0.23776223776223776,0.01686268562052758,0.13451776649746194,0.04889492935563594
-50.0,3.06122,170,0.0017000000000000001,441,0.00441,0.1888111888111888,-0.02335222285034074,0.11928934010152283,0.034815802787103875
-50.0,5.10204,182,0.00182,435,0.00435,0.2727272727272727,0.045587620242576385,0.10406091370558371,0.020736676218571812
-50.0,7.14286,160,0.0016,448,0.00448,0.11888111888111888,-0.08080209209443835,0.1370558375634517,0.051241450450391184
-50.0,9.18367,176,0.00176,423,0.00423,0.23076923076923078,0.01111769869611782,0.07360406091370567,-0.00742157691849211
-50.0,11.2245,165,0.00165,422,0.00422,0.15384615384615385,-0.05207715747238954,0.0710659898477157,-0.009768098013247555
-50.0,13.2653,201,0.00201,434,0.00434,0.40559440559440557,0.15474237180636183,0.10152284263959396,0.01839015512381657
-50.0,15.3061,147,0.00147,384,0.00384,0.027972027972027972,-0.15548692211176524,-0.025380710659898435,-0.09893589961395031
-50.0,17.3469,168,0.00168,410,0.0041,0.17482517482517482,-0.03484219669916026,0.04060913705583767,-0.037926351150311476
-50.0,19.3878,209,0.00209,464,0.00464,0.46153846153846156,0.20070226720163992,0.17766497461928937,0.08878578796647668
-50.0,21.4286,141,0.00141,432,0.00432,-0.013986013986013986,-0.1899568436582238,0.09644670050761425,0.013697112934305884
-50.0,23.4694,188,0.0018800000000000002,426,0.00426,0.3146853146853147,0.08005754178903494,0.08121827411167512,-0.00038201363422617977
-50.0,25.5102,188,0.00188,417,0.00417,0.3146853146853147,0.08005754178903494,0.05837563451776654,-0.021500703487024174
-50.0,27.551,144,0.0014399999999999999,371,0.0037099999999999998,0.006993006993006993,-0.17272188288499452,-0.05837563451776654,-0.1294406738457698
-50.0,29.5918,182,0.00182,438,0.00438,0.2727272727272727,0.045587620242576385,0.11167512690355337,0.027776239502837946
-50.0,31.6327,196,0.00196,457,0.00457,0.3706293706293706,0.12601743718431302,0.1598984771573605,0.07236014030318938
-50.0,33.6735,199,0.00199,462,0.00462,0.3916083916083916,0.1432523979575423,0.17258883248730966,0.08409274577696599
-50.0,35.7143,162,0.00162,399,0.0039900000000000005,0.13286713286713286,-0.06931211824561882,0.012690355329949382,-0.06373808319262016
-50.0,37.7551,200,0.002,422,0.00422,0.3986013986013986,0.14899738488195208,0.0710659898477157,-0.009768098013247555
-50.0,39.7959,168,0.00168,429,0.00429,0.17482517482517482,-0.03484219669916026,0.0888324873096448,0.006657549650039954
-50.0,41.8367,153,0.00153,410,0.0040999999999999995,0.06993006993006994,-0.12101700056530666,0.04060913705583745,-0.037926351150311684
-50.0,43.8776,186,0.00186,465,0.00465,0.3006993006993007,0.06856756794021543,0.18020304568527912,0.09113230906123192
-50.0,45.9184,148,0.00148,404,0.00404,0.03496503496503497,-0.14974193518735546,0.025380710659898543,-0.05200547771884354
-50.0,47.9592,174,0.00174,406,0.00406,0.21678321678321677,-0.00037227515270170126,0.030456852791878253,-0.047312435529332855
-50.0,50.0,180,0.0018,418,0.00418,0.25874125874125875,0.03409764639375686,0.060913705583756285,-0.01915418239226893
-47.9592,-50.0,163,0.00163,419,0.00419,0.13986013986013987,-0.06356713132120906,0.06345177664974624,-0.016807661297513484
-47.9592,-47.9592,164,0.00164,429,0.00429,0.14685314685314685,-0.05782214439679931,0.0888324873096448,0.006657549650039954
-47.9592,-45.9184,175,0.00175,424,0.00424,0.22377622377622378,0.005372711771708059,0.07614213197969541,-0.005075055823736867
-47.9592,-43.8776,156,0.0015600000000000002,411,0.00411,0.09090909090909091,-0.10378203979207738,0.043147208121827416,-0.03557983005555623
-47.9592,-41.8367,202,0.00202,410,0.0041,0.4125874125874126,0.16048735873077158,0.04060913705583767,-0.037926351150311476
-47.9592,-39.7959,189,0.00189,427,0.00427,0.32167832167832167,0.08580252871344471,0.08375634517766509,0.0019645074605292656
-47.9592,-37.7551,167,0.00167,442,0.00442,0.16783216783216784,-0.04058718362357002,0.12182741116751279,0.03716232388185932
-47.9592,-35.7143,151,0.00151,416,0.0041600000000000005,0.055944055944055944,-0.13250697441412618,0.055837563451776796,-0.023847224581779413
-47.9592,-33.6735,149,0.00149,409,0.00409,0.04195804195804196,-0.1439969482629457,0.038071065989847705,-0.040272872245066926
-47.9592,-31.6327,163,0.00163,427,0.00427,0.13986013986013987,-0.06356713132120906,0.08375634517766509,0.0019645074605292656
-47.9592,-29.5918,183,0.00183,418,0.00418,0.27972027972027974,0.05133260716698614,0.060913705583756285,-0.01915418239226893
-47.9592,-27.551,204,0.00204,434,0.00434,0.42657342657342656,0.1719773325795911,0.10152284263959396,0.01839015512381657
-47.9592,-25.5102,154,0.00154,395,0.00395,0.07692307692307693,-0.11527201364089691,0.0025380710659899646,-0.07312416757164153
-47.9592,-23.4694,221,0.00221,429,0.00429,0.5454545454545454,0.26964211029455704,0.0888324873096448,0.006657549650039954
-47.9592,-21.4286,177,0.00177,439,0.00439,0.23776223776223776,0.01686268562052758,0.11421319796954311,0.03012276059759319
-47.9592,-19.3878,175,0.00175,421,0.00421,0.22377622377622378,0.005372711771708059,0.06852791878172595,-0.012114619108002798
-47.9592,-17.3469,197,0.00197,411,0.00411,0.3776223776223776,0.1317624241087228,0.043147208121827416,-0.03557983005555623
-47.9592,-15.3061,156,0.00156,416,0.00416,0.09090909090909091,-0.10378203979207738,0.055837563451776574,-0.023847224581779618
-47.9592,-13.2653,181,0.00181,429,0.00429,0.26573426573426573,0.03984263331816662,0.0888324873096448,0.006657549650039954
-47.9592,-11.2245,182,0.00182,426,0.00426,0.2727272727272727,0.045587620242576385,0.08121827411167512,-0.00038201363422617977
-47.9592,-9.18367,211,0.00211,445,0.00445,0.4755244755244755,0.21219224105045942,0.12944162436548223,0.04420188716612525
-47.9592,-7.14286,201,0.00201,431,0.00431,0.40559440559440557,0.15474237180636183,0.09390862944162429,0.011350591839550438
-47.9592,-5.10204,149,0.00149,401,0.00401,0.04195804195804196,-0.1439969482629457,0.01776649746192887,-0.05904504100310967
-47.9592,-3.06122,209,0.00209,444,0.0044399999999999995,0.46153846153846156,0.20070226720163992,0.1269035532994923,0.041855366071369804
-47.9592,-1.02041,151,0.00151,414,0.00414,0.055944055944055944,-0.13250697441412618,0.05076142131979687,-0.028540266771290304
-47.9592,1.02041,174,0.00174,415,0.00415,0.21678321678321677,-0.00037227515270170126,0.05329949238578683,-0.02619374567653486
-47.9592,3.06122,174,0.00174,471,0.00471,0.21678321678321677,-0.00037227515270170126,0.19543147208121825,0.10521143562976398
-47.9592,5.10204,187,0.0018700000000000001,450,0.0045,0.3076923076923077,0.07431255486462518,0.1421319796954314,0.05593449263990187
-47.9592,7.14286,149,0.00149,403,0.00403,0.04195804195804196,-0.1439969482629457,0.02284263959390858,-0.054351998813598985
-47.9592,9.18367,193,0.00193,467,0.0046700000000000005,0.34965034965034963,0.10878247641108374,0.18527918781725905,0.09582535125074282
-47.9592,11.2245,176,0.00176,412,0.00412,0.23076923076923078,0.01111769869611782,0.04568527918781738,-0.03323330896080079
-47.9592,13.2653,220,0.0022,457,0.00457,0.5384615384615384,0.26389712337014726,0.1598984771573605,0.07236014030318938
-47.9592,15.3061,195,0.0019500000000000001,385,0.00385,0.36363636363636365,0.12027245025990327,-0.02284263959390858,-0.09658937851919497
-47.9592,17.3469,138,0.00138,425,0.00425,-0.03496503496503497,-0.20719180443145307,0.07868020304568538,-0.002728534728981422
-47.9592,19.3878,199,0.00199,376,0.00376,0.3916083916083916,0.1432523979575423,-0.04568527918781727,-0.11770806837199306
-47.9592,21.4286,160,0.0016,388,0.00388,0.11888111888111888,-0.08080209209443835,-0.015228426395939016,-0.08954981523492894
-47.9592,23.4694,161,0.0016099999999999999,403,0.00403,0.1258741258741259,-0.07505710517002859,0.02284263959390858,-0.054351998813598985
-47.9592,25.5102,186,0.0018599999999999999,405,0.00405,0.3006993006993007,0.06856756794021543,0.027918781725888287,-0.0496589566240883
-47.9592,27.551,169,0.00169,395,0.00395,0.18181818181818182,-0.029097209774750502,0.0025380710659899646,-0.07312416757164153
-47.9592,29.5918,176,0.00176,404,0.00404,0.23076923076923078,0.01111769869611782,0.025380710659898543,-0.05200547771884354
-47.9592,31.6327,146,0.00146,459,0.00459,0.02097902097902098,-0.161231909036175,0.1649746192893402,0.07705318249270006
-47.9592,33.6735,165,0.00165,423,0.00423,0.15384615384615385,-0.05207715747238954,0.07360406091370567,-0.00742157691849211
-47.9592,35.7143,169,0.00169,429,0.00429,0.18181818181818182,-0.029097209774750502,0.0888324873096448,0.006657549650039954
-47.9592,37.7551,151,0.00151,380,0.0038,0.055944055944055944,-0.13250697441412618,-0.03553299492385785,-0.10832198399297169
-47.9592,39.7959,126,0.00126,415,0.00415,-0.11888111888111888,-0.2761316475243702,0.05329949238578683,-0.02619374567653486
-47.9592,41.8367,153,0.0015300000000000001,409,0.00409,0.06993006993006994,-0.12101700056530666,0.038071065989847705,-0.040272872245066926
-47.9592,43.8776,165,0.00165,401,0.00401,0.15384615384615385,-0.05207715747238954,0.01776649746192887,-0.05904504100310967
-47.9592,45.9184,172,0.00172,414,0.00414,0.20279720279720279,-0.011862249001521222,0.05076142131979687,-0.028540266771290304
-47.9592,47.9592,179,0.00179,421,0.00421,0.2517482517482518,0.0283526594693471,0.06852791878172595,-0.012114619108002798
-47.9592,50.0,146,0.00146,403,0.00403,0.02097902097902098,-0.161231909036175,0.02284263959390858,-0.054351998813598985
-45.9184,-50.0,174,0.00174,437,0.00437,0.21678321678321677,-0.00037227515270170126,0.1091370558375634,0.0254297184080825
-45.9184,-47.9592,200,0.002,438,0.00438,0.3986013986013986,0.14899738488195208,0.11167512690355337,0.027776239502837946
-45.9184,-45.9184,216,0.00216,449,0.00449,0.5104895104895105,0.24091717567250823,0.13959390862944165,0.05358797154514663
-45.9184,-43.8776,200,0.002,455,0.00455,0.3986013986013986,0.14899738488195208,0.1548223350253808,0.06766709811367869
-45.9184,-41.8367,190,0.0019,417,0.00417,0.32867132867132864,0.09154751563785446,0.05837563451776654,-0.021500703487024174
-45.9184,-39.7959,183,0.00183,447,0.00447,0.27972027972027974,0.05133260716698614,0.13451776649746194,0.04889492935563594
-45.9184,-37.7551,205,0.0020499999999999997,421,0.00421,0.43356643356643354,0.17772231950400086,0.06852791878172595,-0.012114619108002798
-45.9184,-35.7143,143,0.00143,405,0.00405,0.0,-0.17846686980940427,0.027918781725888287,-0.0496589566240883
-45.9184,-33.6735,172,0.0017200000000000002,436,0.00436,0.20279720279720279,-0.011862249001521222,0.10659898477157366,0.02308319731332726
-45.9184,-31.6327,142,0.00142,408,0.00408,-0.006993006993006993,-0.18421185673381404,0.03553299492385796,-0.04261939333982216
-45.9184,-29.5918,129,0.00129,414,0.00414,-0.0979020979020979,-0.2588966867511409,0.05076142131979687,-0.028540266771290304
-45.9184,-27.551,177,0.0017699999999999999,433,0.0043300000000000005,0.23776223776223776,0.01686268562052758,0.09898477157360422,0.016043634029061327
-45.9184,-25.5102,179,0.00179,443,0.00443,0.2517482517482518,0.0283526594693471,0.12436548223350254,0.03950884497661456
-45.9184,-23.4694,173,0.00173,424,0.00424,0.2097902097902098,-0.006117262077111461,0.07614213197969541,-0.005075055823736867
-45.9184,-21.4286,174,0.00174,420,0.0042,0.21678321678321677,-0.00037227515270170126,0.06598984771573599,-0.014461140202758243
-45.9184,-19.3878,163,0.00163,411,0.00411,0.13986013986013987,-0.06356713132120906,0.043147208121827416,-0.03557983005555623
-45.9184,-17.3469,212,0.00212,454,0.00454,0.4825174825174825,0.2179372279748692,0.15228426395939082,0.06532057701892324
-45.9184,-15.3061,203,0.00203,424,0.00424,0.4195804195804196,0.16623234565518136,0.07614213197969541,-0.005075055823736867
-45.9184,-13.2653,168,0.00168,455,0.00455,0.17482517482517482,-0.03484219669916026,0.1548223350253808,0.06766709811367869
-45.9184,-11.2245,187,0.0018700000000000001,430,0.0043,0.3076923076923077,0.07431255486462518,0.09137055837563454,0.009004070744795195
-45.9184,-9.18367,169,0.00169,391,0.00391,0.18181818181818182,-0.029097209774750502,-0.007614213197969453,-0.0825102519506629
-45.9184,-7.14286,168,0.00168,439,0.00439,0.17482517482517482,-0.03484219669916026,0.11421319796954311,0.03012276059759319
-45.9184,-5.10204,208,0.0020800000000000003,428,0.00428,0.45454545454545453,0.19495728027723014,0.08629441624365483,0.004311028555284508
-45.9184,-3.06122,163,0.00163,409,0.00409,0.13986013986013987,-0.06356713132120906,0.038071065989847705,-0.040272872245066926
-45.9184,-1.02041,194,0.00194,427,0.00427,0.35664335664335667,0.1145274633354935,0.08375634517766509,0.0019645074605292656
-45.9184,1.02041,192,0.00192,442,0.00442,0.34265734265734266,0.10303748948667399,0.12182741116751279,0.03716232388185932
-45.9184,3.06122,180,0.0018,423,0.00423,0.25874125874125875,0.03409764639375686,0.07360406091370567,-0.00742157691849211
-45.9184,5.10204,189,0.00189,384,0.00384,0.32167832167832167,0.08580252871344471,-0.025380710659898435,-0.09893589961395031
-45.9184,7.14286,176,0.00176,408,0.00408,0.23076923076923078,0.01111769869611782,0.03553299492385796,-0.04261939333982216
-45.9184,9.18367,179,0.00179,418,0.00418,0.2517482517482518,0.0283526594693471,0.060913705583756285,-0.01915418239226893
-45.9184,11.2245,209,0.00209,486,0.00486,0.46153846153846156,0.20070226720163992,0.23350253807106594,0.14040925205109403
