x,y,detectorID,nPrimary,roiCounts,normalizedCounts,flux,normalizedFlux
41.8367,-50,0,100000,41,0.00041,88,0.00088
41.8367,-50,1,100000,39,0.00039,73,0.00073
41.8367,-50,2,100000,37,0.00037,75,0.00075
41.8367,-50,3,100000,40,0.0004,71,0.00071
41.8367,-50,4,100000,24,0.00024,67,0.00067
41.8367,-50,5,100000,31,0.00031,62,0.00062
41.8367,-47.9592,0,100000,17,0.00017,63,0.00063
41.8367,-47.9592,1,100000,42,0.00042,84,0.00084
41.8367,-47.9592,2,100000,19,0.00019,64,0.00064
41.8367,-47.9592,3,100000,24,0.00024,77,0.00077
41.8367,-47.9592,4,100000,32,0.00032,70,0.0007
41.8367,-47.9592,5,100000,35,0.00035,85,0.00085
41.8367,-45.9184,0,100000,16,0.00016,51,0.00051
41.8367,-45.9184,1,100000,21,0.00021,53,0.00053
41.8367,-45.9184,2,100000,37,0.00037,59,0.00059
41.8367,-45.9184,3,100000,23,0.00023,72,0.00072
41.8367,-45.9184,4,100000,47,0.00047,78,0.00078
41.8367,-45.9184,5,100000,47,0.00047,78,0.00078
41.8367,-43.8776,0,100000,31,0.00031,75,0.00075
41.8367,-43.8776,1,100000,29,0.00029,63,0.00063
41.8367,-43.8776,2,100000,17,0.00017,57,0.00057
41.8367,-43.8776,3,100000,27,0.00027,71,0.00071
41.8367,-43.8776,4,100000,43,0.00043,75,0.00075
41.8367,-43.8776,5,100000,14,0.00014,56,0.00056
41.8367,-41.8367,0,100000,26,0.00026,79,0.00079
41.8367,-41.8367,1,100000,28,0.00028,67,0.00067
41.8367,-41.8367,2,100000,31,0.00031,87,0.00087
41.8367,-41.8367,3,100000,30,0.0003,78,0.00078
41.8367,-41.8367,4,100000,24,0.00024,67,0.00067
41.8367,-41.8367,5,100000,17,0.00017,59,0.00059
41.8367,-39.7959,0,100000,43,0.00043,79,0.00079
41.8367,-39.7959,1,100000,40,0.0004,84,0.00084
41.8367,-39.7959,2,100000,17,0.00017,60,0.0006
41.8367,-39.7959,3,100000,34,0.00034,75,0.00075
41.8367,-39.7959,4,100000,30,0.0003,73,0.00073
41.8367,-39.7959,5,100000,31,0.00031,80,0.0008
41.8367,-37.7551,0,100000,17,0.00017,63,0.00063
41.8367,-37.7551,1,100000,22,0.00022,70,0.0007
41.8367,-37.7551,2,100000,36,0.00036,75,0.00075
41.8367,-37.7551,3,100000,30,0.0003,65,0.00065
41.8367,-37.7551,4,100000,28,0.00028,75,0.00075
41.8367,-37.7551,5,100000,41,0.00041,73,0.00073
41.8367,-35.7143,0,100000,27,0.00027,80,0.0008
41.8367,-35.7143,1,100000,29,0.00029,78,0.00078
41.8367,-35.7143,2,100000,30,0.0003,76,0.00076
41.8367,-35.7143,3,100000,28,0.00028,69,0.00069
41.8367,-35.7143,4,100000,11,0.00011,68,0.00068
41.8367,-35.7143,5,100000,24,0.00024,79,0.00079
41.8367,-33.6735,0,100000,33,0.00033,71,0.00071
41.8367,-33.6735,1,100000,36,0.00036,67,0.00067
41.8367,-33.6735,2,100000,37,0.00037,90,0.0009
41.8367,-33.6735,3,100000,26,0.00026,63,0.00063
41.8367,-33.6735,4,100000,27,0.00027,72,0.00072
41.8367,-33.6735,5,100000,40,0.0004,70,0.0007
41.8367,-31.6327,0,100000,22,0.00022,63,0.00063
41.8367,-31.6327,1,100000,33,0.00033,80,0.0008
41.8367,-31.6327,2,100000,33,0.00033,69,0.00069
41.8367,-31.6327,3,100000,35,0.00035,70,0.0007
41.8367,-31.6327,4,100000,39,0.00039,64,0.00064
41.8367,-31.6327,5,100000,41,0.00041,87,0.00087
41.8367,-29.5918,0,100000,49,0.00049,74,0.00074
41.8367,-29.5918,1,100000,48,0.00048,93,0.00093
41.8367,-29.5918,2,100000,38,0.00038,68,0.00068
41.8367,-29.5918,3,100000,30,0.0003,68,0.00068
41.8367,-29.5918,4,100000,18,0.00018,64,0.00064
41.8367,-29.5918,5,100000,31,0.00031,72,0.00072
41.8367,-27.551,0,100000,22,0.00022,66,0.00066
41.8367,-27.551,1,100000,35,0.00035,69,0.00069
41.8367,-27.551,2,100000,39,0.00039,86,0.00086
41.8367,-27.551,3,100000,12,0.00012,66,0.00066
41.8367,-27.551,4,100000,18,0.00018,63,0.00063
41.8367,-27.551,5,100000,22,0.00022,85,0.00085
41.8367,-25.5102,0,100000,19,0.00019,64,0.00064
41.8367,-25.5102,1,100000,27,0.00027,58,0.00058
41.8367,-25.5102,2,100000,21,0.00021,56,0.00056
41.8367,-25.5102,3,100000,40,0.0004,71,0.00071
