x,y,roiCounts_crack,normalizedCounts_crack,flux_crack,normalizedFlux_crack,roiCounts_normal,normalizedCounts_normal,flux_normal,normalizedFlux_normal,roiCounts_abs_diff,roiCounts_rel_diff,roiCounts_sym_rel_diff,normalizedCounts_abs_diff,normalizedCounts_rel_diff,normalizedCounts_sym_rel_diff,flux_abs_diff,flux_rel_diff,flux_sym_rel_diff,normalizedFlux_abs_diff,normalizedFlux_rel_diff,normalizedFlux_sym_rel_diff
-50.0,-50.0,183,0.00183,418,0.00418,183,0.00183,418,0.00418,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-47.9592,183,0.00183,456,0.00456,183,0.00183,456,0.00456,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-45.9184,173,0.00173,417,0.00417,173,0.00173,417,0.00417,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-43.8776,219,0.00219,491,0.00491,219,0.00219,490,0.0049,0,0.0,0.0,0.0,0.0,0.0,1,0.0020408163265306124,0.0020387359836901123,1.000000000000046e-05,0.002040816326530706,0.002038735983690206
-50.0,-41.8367,163,0.00163,449,0.00449,164,0.00164,450,0.0045000000000000005,-1,-0.006097560975609756,-0.0061162079510703364,-1.0000000000000026e-05,-0.006097560975609772,-0.006116207951070353,-1,-0.0022222222222222222,-0.002224694104560623,-1.000000000000046e-05,-0.002222222222222324,-0.002224694104560725
-50.0,-39.7959,195,0.0019500000000000001,417,0.00417,195,0.0019500000000000001,419,0.00419,0,0.0,0.0,0.0,0.0,0.0,-2,-0.00477326968973747,-0.004784688995215311,-2.0000000000000052e-05,-0.0047732696897374825,-0.004784688995215324
-50.0,-37.7551,104,0.00104,391,0.00391,103,0.00103,388,0.0038799999999999998,1,0.009708737864077669,0.00966183574879227,9.99999999999981e-06,0.009708737864077483,0.009661835748792088,3,0.007731958762886598,0.007702182284980745,3.0000000000000512e-05,0.00773195876288673,0.007702182284980876
-50.0,-35.7143,213,0.00213,464,0.00464,213,0.00213,463,0.0046300000000000004,0,0.0,0.0,0.0,0.0,0.0,1,0.0021598272138228943,0.002157497303128371,9.999999999999593e-06,0.002159827213822806,0.002157497303128283
-50.0,-33.6735,185,0.00185,420,0.0042,185,0.00185,421,0.00421,0,0.0,0.0,0.0,0.0,0.0,-1,-0.0023752969121140144,-0.0023781212841854932,-1.000000000000046e-05,-0.002375296912114123,-0.0023781212841856025
-50.0,-31.6327,199,0.00199,425,0.00425,199,0.00199,425,0.00425,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
