x,y,detectorID,nPrimary_crack,roiCounts_crack,normalizedCounts_crack,flux_crack,normalizedFlux_crack,nPrimary_normal,roiCounts_normal,normalizedCounts_normal,flux_normal,normalizedFlux_normal,roiCounts_abs_diff,roiCounts_rel_diff,roiCounts_sym_rel_diff,normalizedCounts_abs_diff,normalizedCounts_rel_diff,normalizedCounts_sym_rel_diff,flux_abs_diff,flux_rel_diff,flux_sym_rel_diff,normalizedFlux_abs_diff,normalizedFlux_rel_diff,normalizedFlux_sym_rel_diff
-50.0,-50.0,0,100000,45,0.00045,91,0.00091,100000,45,0.00045,91,0.00091,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-50.0,1,100000,37,0.00037,72,0.00072,100000,37,0.00037,72,0.00072,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-50.0,2,100000,17,0.00017,69,0.00069,100000,17,0.00017,69,0.00069,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-50.0,3,100000,44,0.00044,75,0.00075,100000,44,0.00044,75,0.00075,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-50.0,4,100000,19,0.00019,65,0.00065,100000,19,0.00019,65,0.00065,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-50.0,5,100000,32,0.00032,69,0.00069,100000,32,0.00032,69,0.00069,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-47.9592,0,100000,18,0.00018,72,0.00072,100000,18,0.00018,72,0.00072,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-47.9592,1,100000,39,0.00039,85,0.00085,100000,39,0.00039,85,0.00085,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-47.9592,2,100000,19,0.00019,57,0.00057,100000,19,0.00019,57,0.00057,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-47.9592,3,100000,16,0.00016,56,0.00056,100000,16,0.00016,56,0.00056,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-47.9592,4,100000,27,0.00027,62,0.00062,100000,27,0.00027,62,0.00062,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-47.9592,5,100000,36,0.00036,69,0.00069,100000,36,0.00036,69,0.00069,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-45.9184,0,100000,20,0.0002,47,0.00047,100000,20,0.0002,47,0.00047,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-45.9184,1,100000,24,0.00024,57,0.00057,100000,24,0.00024,57,0.00057,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-45.9184,2,100000,34,0.00034,64,0.00064,100000,34,0.00034,64,0.00064,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-45.9184,3,100000,22,0.00022,69,0.00069,100000,22,0.00022,69,0.00069,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-45.9184,4,100000,54,0.00054,70,0.0007,100000,54,0.00054,70,0.0007,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-45.9184,5,100000,39,0.00039,74,0.00074,100000,39,0.00039,74,0.00074,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-43.8776,0,100000,20,0.0002,62,0.00062,100000,20,0.0002,62,0.00062,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-43.8776,1,100000,36,0.00036,71,0.00071,100000,36,0.00036,71,0.00071,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-43.8776,2,100000,19,0.00019,57,0.00057,100000,19,0.00019,57,0.00057,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-43.8776,3,100000,31,0.00031,81,0.00081,100000,31,0.00031,81,0.00081,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-43.8776,4,100000,40,0.0004,83,0.00083,100000,40,0.0004,83,0.00083,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-43.8776,5,100000,19,0.00019,67,0.00067,100000,19,0.00019,67,0.00067,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-41.8367,0,100000,30,0.0003,85,0.00085,100000,30,0.0003,85,0.00085,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-41.8367,1,100000,21,0.00021,64,0.00064,100000,21,0.00021,64,0.00064,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-41.8367,2,100000,23,0.00023,78,0.00078,100000,23,0.00023,78,0.00078,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-41.8367,3,100000,29,0.00029,68,0.00068,100000,29,0.00029,68,0.00068,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-41.8367,4,100000,22,0.00022,55,0.00055,100000,22,0.00022,55,0.00055,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-41.8367,5,100000,20,0.0002,57,0.00057,100000,20,0.0002,57,0.00057,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-39.7959,0,100000,45,0.00045,86,0.00086,100000,45,0.00045,86,0.00086,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-39.7959,1,100000,41,0.00041,81,0.00081,100000,41,0.00041,81,0.00081,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-39.7959,2,100000,8,8e-05,63,0.00063,100000,8,8e-05,63,0.00063,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-39.7959,3,100000,35,0.00035,75,0.00075,100000,35,0.00035,75,0.00075,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-39.7959,4,100000,29,0.00029,76,0.00076,100000,29,0.00029,76,0.00076,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-39.7959,5,100000,35,0.00035,94,0.00094,100000,35,0.00035,94,0.00094,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-37.7551,0,100000,18,0.00018,64,0.00064,100000,18,0.00018,64,0.00064,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-37.7551,1,100000,18,0.00018,68,0.00068,100000,18,0.00018,68,0.00068,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-37.7551,2,100000,23,0.00023,70,0.0007,100000,23,0.00023,70,0.0007,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-37.7551,3,100000,27,0.00027,64,0.00064,100000,27,0.00027,64,0.00064,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-37.7551,4,100000,27,0.00027,71,0.00071,100000,27,0.00027,71,0.00071,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-37.7551,5,100000,22,0.00022,65,0.00065,100000,22,0.00022,65,0.00065,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-35.7143,0,100000,27,0.00027,72,0.00072,100000,27,0.00027,72,0.00072,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-35.7143,1,100000,39,0.00039,76,0.00076,100000,39,0.00039,76,0.00076,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-35.7143,2,100000,27,0.00027,65,0.00065,100000,27,0.00027,65,0.00065,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-35.7143,3,100000,30,0.0003,74,0.00074,100000,30,0.0003,74,0.00074,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-35.7143,4,100000,17,0.00017,68,0.00068,100000,17,0.00017,68,0.00068,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-35.7143,5,100000,29,0.00029,74,0.00074,100000,29,0.00029,74,0.00074,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-33.6735,0,100000,26,0.00026,69,0.00069,100000,26,0.00026,69,0.00069,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-33.6735,1,100000,34,0.00034,60,0.0006,100000,34,0.00034,60,0.0006,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-33.6735,2,100000,26,0.00026,82,0.00082,100000,26,0.00026,82,0.00082,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-33.6735,3,100000,27,0.00027,68,0.00068,100000,27,0.00027,68,0.00068,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-33.6735,4,100000,26,0.00026,68,0.00068,100000,26,0.00026,68,0.00068,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-33.6735,5,100000,33,0.00033,65,0.00065,100000,33,0.00033,65,0.00065,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-31.6327,0,100000,33,0.00033,60,0.0006,100000,33,0.00033,60,0.0006,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-31.6327,1,100000,46,0.00046,87,0.00087,100000,46,0.00046,87,0.00087,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-31.6327,2,100000,46,0.00046,76,0.00076,100000,46,0.00046,76,0.00076,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-31.6327,3,100000,26,0.00026,81,0.00081,100000,26,0.00026,81,0.00081,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-31.6327,4,100000,37,0.00037,62,0.00062,100000,37,0.00037,62,0.00062,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-31.6327,5,100000,31,0.00031,69,0.00069,100000,31,0.00031,69,0.00069,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-29.5918,0,100000,31,0.00031,62,0.00062,100000,31,0.00031,62,0.00062,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-29.5918,1,100000,29,0.00029,74,0.00074,100000,29,0.00029,74,0.00074,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-29.5918,2,100000,37,0.00037,69,0.00069,100000,37,0.00037,69,0.00069,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-29.5918,3,100000,31,0.00031,73,0.00073,100000,31,0.00031,73,0.00073,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-29.5918,4,100000,20,0.0002,66,0.00066,100000,20,0.0002,66,0.00066,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-29.5918,5,100000,35,0.00035,69,0.00069,100000,35,0.00035,69,0.00069,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-27.551,0,100000,29,0.00029,72,0.00072,100000,29,0.00029,72,0.00072,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-27.551,1,100000,23,0.00023,69,0.00069,100000,23,0.00023,69,0.00069,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-27.551,2,100000,33,0.00033,79,0.00079,100000,33,0.00033,79,0.00079,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-27.551,3,100000,16,0.00016,61,0.00061,100000,16,0.00016,61,0.00061,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-27.551,4,100000,21,0.00021,59,0.00059,100000,21,0.00021,59,0.00059,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-27.551,5,100000,19,0.00019,66,0.00066,100000,19,0.00019,66,0.00066,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-25.5102,0,100000,18,0.00018,66,0.00066,100000,18,0.00018,66,0.00066,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-25.5102,1,100000,26,0.00026,64,0.00064,100000,26,0.00026,64,0.00064,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-25.5102,2,100000,20,0.0002,65,0.00065,100000,20,0.0002,65,0.00065,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-25.5102,3,100000,32,0.00032,70,0.0007,100000,32,0.00032,70,0.0007,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-25.5102,4,100000,16,0.00016,71,0.00071,100000,16,0.00016,71,0.00071,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-25.5102,5,100000,21,0.00021,61,0.00061,100000,21,0.00021,61,0.00061,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-23.4694,0,100000,32,0.00032,65,0.00065,100000,32,0.00032,65,0.00065,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-23.4694,1,100000,35,0.00035,75,0.00075,100000,35,0.00035,75,0.00075,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-23.4694,2,100000,18,0.00018,58,0.00058,100000,18,0.00018,58,0.00058,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-23.4694,3,100000,20,0.0002,64,0.00064,100000,20,0.0002,64,0.00064,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-23.4694,4,100000,42,0.00042,91,0.00091,100000,42,0.00042,91,0.00091,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-23.4694,5,100000,36,0.00036,83,0.00083,100000,36,0.00036,83,0.00083,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-21.4286,0,100000,20,0.0002,64,0.00064,100000,20,0.0002,64,0.00064,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-21.4286,1,100000,38,0.00038,74,0.00074,100000,38,0.00038,74,0.00074,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-21.4286,2,100000,43,0.00043,78,0.00078,100000,43,0.00043,78,0.00078,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-21.4286,3,100000,16,0.00016,77,0.00077,100000,16,0.00016,77,0.00077,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-21.4286,4,100000,22,0.00022,62,0.00062,100000,22,0.00022,62,0.00062,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-21.4286,5,100000,36,0.00036,74,0.00074,100000,36,0.00036,74,0.00074,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-19.3878,0,100000,15,0.00015,71,0.00071,100000,15,0.00015,71,0.00071,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-19.3878,1,100000,26,0.00026,59,0.00059,100000,26,0.00026,59,0.00059,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-19.3878,2,100000,12,0.00012,66,0.00066,100000,12,0.00012,66,0.00066,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-19.3878,3,100000,37,0.00037,61,0.00061,100000,37,0.00037,61,0.00061,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-19.3878,4,100000,34,0.00034,83,0.00083,100000,34,0.00034,83,0.00083,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-19.3878,5,100000,26,0.00026,60,0.0006,100000,26,0.00026,60,0.0006,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-17.3469,0,100000,19,0.00019,65,0.00065,100000,19,0.00019,65,0.00065,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-17.3469,1,100000,28,0.00028,72,0.00072,100000,28,0.00028,72,0.00072,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-17.3469,2,100000,20,0.0002,67,0.00067,100000,20,0.0002,67,0.00067,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-17.3469,3,100000,18,0.00018,68,0.00068,100000,18,0.00018,68,0.00068,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-17.3469,4,100000,19,0.00019,62,0.00062,100000,19,0.00019,62,0.00062,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-17.3469,5,100000,18,0.00018,57,0.00057,100000,18,0.00018,57,0.00057,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-15.3061,0,100000,30,0.0003,63,0.00063,100000,30,0.0003,63,0.00063,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-15.3061,1,100000,19,0.00019,50,0.0005,100000,19,0.00019,50,0.0005,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-15.3061,2,100000,33,0.00033,67,0.00067,100000,33,0.00033,67,0.00067,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-15.3061,3,100000,21,0.00021,67,0.00067,100000,21,0.00021,67,0.00067,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-15.3061,4,100000,30,0.0003,77,0.00077,100000,30,0.0003,77,0.00077,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-15.3061,5,100000,36,0.00036,83,0.00083,100000,36,0.00036,83,0.00083,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
-50.0,-13.2653,0,100000,23,0.00023,77,0.00077,100000,23,0.00023,77,0.00077,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
