x,y,detectorID,nPrimary,roiCounts,normalizedCounts,flux,normalizedFlux
-50.0,-50.0,0,100000,16,0.00016,66,0.00066
-50.0,-50.0,1,100000,42,0.00042,73,0.00073
-50.0,-50.0,2,100000,24,0.00024,68,0.00068
-50.0,-50.0,3,100000,33,0.00033,73,0.00073
-50.0,-50.0,4,100000,32,0.00032,59,0.00059
-50.0,-50.0,5,100000,36,0.00036,79,0.00079
-50.0,-47.9592,0,100000,39,0.00039,83,0.00083
-50.0,-47.9592,1,100000,18,0.00018,71,0.00071
-50.0,-47.9592,2,100000,30,0.0003,77,0.00077
-50.0,-47.9592,3,100000,28,0.00028,76,0.00076
-50.0,-47.9592,4,100000,34,0.00034,71,0.00071
-50.0,-47.9592,5,100000,34,0.00034,78,0.00078
-50.0,-45.9184,0,100000,33,0.00033,80,0.0008
-50.0,-45.9184,1,100000,17,0.00017,51,0.00051
-50.0,-45.9184,2,100000,44,0.00044,68,0.00068
-50.0,-45.9184,3,100000,33,0.00033,70,0.0007
-50.0,-45.9184,4,100000,19,0.00019,73,0.00073
-50.0,-45.9184,5,100000,27,0.00027,75,0.00075
-50.0,-43.8776,0,100000,41,0.00041,92,0.00092
-50.0,-43.8776,1,100000,48,0.00048,96,0.00096
-50.0,-43.8776,2,100000,29,0.00029,81,0.00081
-50.0,-43.8776,3,100000,51,0.00051,76,0.00076
-50.0,-43.8776,4,100000,27,0.00027,72,0.00072
-50.0,-43.8776,5,100000,23,0.00023,73,0.00073
-50.0,-41.8367,0,100000,29,0.00029,78,0.00078
-50.0,-41.8367,1,100000,28,0.00028,80,0.0008
-50.0,-41.8367,2,100000,19,0.00019,79,0.00079
-50.0,-41.8367,3,100000,34,0.00034,69,0.00069
-50.0,-41.8367,4,100000,24,0.00024,68,0.00068
-50.0,-41.8367,5,100000,30,0.0003,76,0.00076
-50.0,-39.7959,0,100000,25,0.00025,63,0.00063
-50.0,-39.7959,1,100000,42,0.00042,79,0.00079
-50.0,-39.7959,2,100000,42,0.00042,82,0.00082
